period,return
2021-01,0.0
2021-02,0.0
2021-03,0.0
2021-04,0.0
2021-05,0.0
2021-06,0.0
2021-07,0.0
2021-08,0.0
2021-09,0.0
2021-10,0.0
2021-11,0.0
2021-12,0.0
2022-01,0.0
2022-02,0.0
2022-03,0.0012243561038218775
2022-04,-0.004775775377386604
2022-05,0.0
2022-06,0.0
2022-07,0.003981577616523291
2022-08,0.0011071407725413707
2022-09,-0.0008822493384803565
2022-10,0.010438851425678575
2022-11,-0.01707127561007382
2022-12,-0.004999999999999893
2023-01,0.07702986658609068
2023-02,-0.012089988336315471
2023-03,-0.007885751820391529
2023-04,-0.0170236237738266
2023-05,-0.0062720472409376615
2023-06,-0.011176985115262439
2023-07,-0.00657521537766137
2023-08,-0.0076059159048030844
2023-09,0.011148357730119463
2023-10,0.013969087946687386
2023-11,0.05108201115738642
2023-12,0.04499628899300334
2024-01,-0.022686675444843485
2024-02,0.0864763331545022
2024-03,0.12013005489329331
2024-04,-0.048240730167543155
2024-05,-0.016563510271467408
2024-06,0.002943826937389815
2024-07,0.0
2024-08,0.0
2024-09,-0.007619490421588493
2024-10,-0.02022500442890307
2024-11,0.09899628619905831
2024-12,-0.008568327022673294
2025-01,0.0
2025-02,0.0
2025-03,0.0
2025-04,0.0
2025-05,0.003797050907057953
2025-06,-0.006862216625040496
2025-07,0.059986045135956845
2025-08,0.006751169998717943
2025-09,0.008732460078135773
2025-10,-0.014125299129106428
2025-11,0.0
2025-12,0.0
2026-01,0.0
