symbol,entry_date,exit_date,entry,exit,pnl,r_multiple,fees,holding_days,mae,mfe,reason
ETH,2023-12-05,2024-01-03,2244.48168,2130.817572076814,-179.69554740566198,-0.32947038425268843,7.92300297445777,29,-0.9655724972645547,1.3454123248532632,STOP
DOT,2023-10-24,2024-01-23,4.360179,6.270836521315054,1613.5459476151057,3.2182305791292456,6.52289504766145,91,-0.9300932339717954,13.898638715301397,STOP
ETH,2024-02-13,2024-03-15,2661.319995,3607.6575578916077,1868.4019374740315,3.3803373496532054,9.230878466543173,31,-0.4108800501597588,8.2533202913611,STOP
ADA,2024-02-10,2024-03-16,0.5409703499999999,0.650884909948754,1005.3589795889064,1.8327383371786554,6.495379082273834,35,-0.2658769708851509,5.522991993943642,STOP
UNI,2024-02-10,2024-03-19,6.6573269999999996,10.56437136460172,2303.820909582505,4.199223961447838,7.660488424068457,38,-0.3212057176292856,18.82502940359628,STOP
BCH,2024-02-10,2024-04-12,250.42515,533.2734283174404,5462.393061657921,9.947474843495112,11.722537379652536,62,-0.49688395514850714,31.39004151144322,STOP
BNB,2023-12-21,2024-04-13,260.5302,525.9594968563491,4089.64514387655,7.3439712958059795,9.295305043005126,114,-0.22034742666389226,19.574384680918733,STOP
DOGE,2024-02-15,2024-04-13,0.085532745,0.15809520745637784,3544.6752212384795,6.275577696738473,9.179921485144831,58,-0.5641269168286133,22.383546305923975,STOP
LTC,2024-05-21,2024-05-23,88.68432,81.94815356926745,-634.3495184207449,-1.0,7.933805061986737,2,-1.217940356809128,0.14124805460507453,STOP
DOT,2024-05-22,2024-05-31,7.612804499999999,6.8902594264299415,-631.9376503157051,-1.0000000000000002,6.279168792070211,9,-1.1261389292765212,0.22555402779741446,STOP
ADA,2024-05-18,2024-06-07,0.48274124999999996,0.43584722664726094,-633.5723342082715,-1.0,6.145210884190185,20,-1.2306380456017079,0.596853962142306,STOP
BNB,2024-05-22,2024-06-18,618.80925,577.3776274534898,167.8699796626812,0.26551793979836746,8.635994283569868,27,-0.9759852504899121,2.294434461601005,STOP
BNB,2024-09-20,2024-09-30,567.18345,570.0533697633911,174.84854609726094,0.27979689609106256,8.211420066235048,10,-0.2843741336617125,1.2001146524280182,STOP
ADA,2024-09-25,2024-10-01,0.38799389999999995,0.3518470269994064,-625.8346424925281,-0.9999999999999998,6.339796544640442,6,-1.2675231596457393,0.7730173494573943,STOP
DOT,2024-09-25,2024-10-01,4.638318,4.204509250195361,-625.2101327876017,-1.0,6.3079012590593795,6,-1.3604600284918125,0.7544079067886074,STOP
DOGE,2024-09-27,2024-10-01,0.118229085,0.1064226732520166,-320.3114224441053,-0.5074384584918387,6.10446473169447,4,-1.3297757079141828,1.180184624598462,STOP
BCH,2024-09-28,2024-10-01,358.9794,327.98398214692503,-632.5438331836477,-0.9999999999999998,6.932828805744631,3,-1.5626759661689695,0.06878065426007704,STOP
ETH,2024-09-24,2024-10-02,2648.30349,2407.4484376222536,-627.7263792572543,-1.0,6.519826336166462,8,-1.2363972141910453,0.33505640204664355,STOP
SOL,2024-10-25,2024-10-25,177.278595,160.46927933784414,-609.7975103530285,-1.0,6.065364380971333,0,-1.0854534413969286,0.019212398499563344,STOP
BCH,2024-10-15,2024-11-03,369.7848,335.2804516940187,-611.6284972715218,-1.0,6.185837470876669,19,-1.04800051896311,0.5712617488374299,STOP
LTC,2024-11-11,2024-11-12,76.61828999999999,69.81339790237215,-617.7042578054983,-1.0000000000000002,6.57531677775443,1,-1.273017845980103,0.9101534981712253,STOP
XRP,2024-11-11,2024-12-09,0.58879425,2.026337564114261,8566.844831318394,13.834918354029211,10.942409538241051,28,-0.34268985434128074,42.99603976804537,STOP
ETH,2024-11-09,2024-12-19,2963.2308749999997,3409.7831181043293,913.2218882398327,1.5081579902164375,6.75424076386872,40,-0.033893424945366596,4.074559085480341,STOP
DOT,2024-11-10,2024-12-19,4.634315999999999,7.031049866449679,2015.5176914216813,3.3151528160957002,7.101320287436628,39,-0.11468941872694013,15.377896446845652,STOP
BNB,2024-11-10,2024-12-20,624.9823349999999,623.151347242277,425.38751350287265,0.6998324491128252,8.160414467364813,40,-0.6803838283104723,3.598284692579908,STOP
SOL,2025-05-09,2025-05-19,164.54223,161.11182444016288,44.51028134013329,0.0665719459396402,7.186018907723407,10,-0.3371587046791724,1.343933180053221,STOP
XRP,2025-05-11,2025-05-28,2.47233555,2.2449022949013284,-670.8032964317524,-1.0000000000000002,6.885227577981205,17,-1.0862767294319875,0.8066999002241534,STOP
DOT,2025-05-09,2025-05-30,4.4572275,4.2701919009333515,345.46190869980757,0.5186415886153395,6.77723946606771,21,-1.0128735913665945,2.1256698842271735,STOP
BNB,2025-05-09,2025-06-05,629.4845849999999,635.9273204308831,534.837753872425,0.807866001249186,14.254970932367439,27,-0.22027495099684413,2.3619380438605977,STOP
ETH,2025-06-11,2025-06-13,2817.8182049999996,2536.212579126344,-663.3077388041886,-1.0,6.24619575274629,2,-1.35850194921586,0.21902859822809279,STOP
SOL,2025-07-11,2025-07-30,164.41216500000002,170.36089586797772,616.7196487847904,0.9162851930555271,7.437533533419307,19,-0.4694541922684899,2.7379515432743062,STOP
LTC,2025-07-04,2025-08-01,89.12454,103.21096135582869,1054.2150513643028,1.5973168296612594,7.830383529559661,28,-0.4997718638800702,4.180854212756063,STOP
LINK,2025-07-10,2025-08-01,14.257124999999998,16.53957636830136,1034.6213143273842,1.5565095669660372,7.426639682292359,22,-0.0792167842715915,4.4537950018181585,STOP
ETH,2025-07-10,2025-08-02,2770.1243699999995,3414.7905067736015,1335.3094616253095,2.0161166910593415,8.032231702691512,23,-0.05960567778525108,4.772228515032447,STOP
XRP,2025-07-10,2025-08-02,2.4050019,2.859250248299346,1258.8776237468994,1.887245709806236,8.877999560569398,23,-0.06225600917870252,6.568258214174262,STOP
DOT,2025-09-14,2025-09-15,4.4942459999999995,4.104394719492778,-709.7643626214126,-1.0,7.741975701999733,1,-1.006312418082699,0.009680296063209266,STOP
ETH,2025-08-09,2025-09-22,4011.514755,4340.966218146754,792.7027023126757,1.1385515194252676,7.396124967358421,44,-0.012410563479703415,2.4016095644980755,STOP
BNB,2025-07-11,2025-10-10,686.1428999999999,910.9451712161443,3419.5941947302113,5.084113216506324,19.785836290794474,91,-0.441834462882679,27.050929812570853,STOP
LTC,2025-10-10,2025-10-10,125.96294999999999,113.89851408430461,-716.6396842200693,-1.0,7.053885066313967,0,-6.100620877810681,0.8350684931166826,STOP
