period,return
2021-01,0.0
2021-02,0.0
2021-03,0.0
2021-04,0.0
2021-05,0.0
2021-06,0.0
2021-07,0.0
2021-08,0.0
2021-09,0.0
2021-10,0.0
2021-11,0.0
2021-12,0.0
2022-01,0.0
2022-02,0.0
2022-03,0.0012243561038218775
2022-04,-0.004775775377386604
2022-05,0.0
2022-06,0.0
2022-07,0.003981577616523291
2022-08,0.0011071407725413707
2022-09,-0.0008822493384803565
2022-10,0.0
2022-11,-0.0025446633923830175
2022-12,0.0
2023-01,0.002228849306342262
2023-02,-0.0025967641506579042
2023-03,0.0
2023-04,-0.024948166821443407
2023-05,0.0
2023-06,0.0
2023-07,0.00343027651228045
2023-08,-0.002589938728359331
2023-09,0.010182904281152982
2023-10,0.00992490785951805
2023-11,0.011887591822621113
2023-12,0.019818603086225073
2024-01,-0.009135835509038515
2024-02,0.03849705266580994
2024-03,0.019654344389937517
2024-04,-0.006834936356335364
2024-05,0.0
2024-06,-0.0050000000000001155
2024-07,0.0
2024-08,0.0
2024-09,-0.013094375318426277
2024-10,-0.01604271068777341
2024-11,0.0049366343845238525
2024-12,-0.0024225282262625436
2025-01,0.0
2025-02,0.0
2025-03,0.0
2025-04,0.0
2025-05,0.00033285972969832045
2025-06,-0.0050000000000000044
2025-07,0.02636234413872174
2025-08,0.004690845294052393
2025-09,0.0032880296923987196
2025-10,-0.010624392466038746
2025-11,0.0
2025-12,0.0
2026-01,0.0
