period,return
2021-01,0.0
2021-02,0.0
2021-03,0.0
2021-04,0.0
2021-05,0.0
2021-06,0.0
2021-07,0.0
2021-08,0.0
2021-09,0.0
2021-10,0.0
2021-11,0.0
2021-12,0.0
2022-01,0.0
2022-02,0.0
2022-03,0.0012243561038218775
2022-04,-0.004775775377386604
2022-05,0.0
2022-06,0.0
2022-07,0.0
2022-08,0.0
2022-09,0.0
2022-10,0.009383071849552227
2022-11,-0.005833283930578026
2022-12,0.0
2023-01,0.026403734151668967
2023-02,-0.003991093538834867
2023-03,-0.0019290099816794415
2023-04,-0.024948166821443185
2023-05,-0.00148553292105702
2023-06,-0.004675750370845777
2023-07,0.003430276512280672
2023-08,-0.007592443295565521
2023-09,0.008714480956543591
2023-10,0.009147357167368364
2023-11,0.011155367748309386
2023-12,0.019894783801672755
2024-01,-0.0091354526539833
2024-02,0.038497046401513746
2024-03,0.019654334603348422
2024-04,-0.0068349326751959705
2024-05,0.0
2024-06,-0.0050000000000000044
2024-07,0.0
2024-08,0.0
2024-09,-0.013094375318426166
2024-10,-0.016042710687773742
2024-11,0.0049366343845238525
2024-12,-0.0024225282262625436
2025-01,0.0
2025-02,0.0
2025-03,0.0
2025-04,0.0
2025-05,0.0003328597296980984
2025-06,-0.0050000000000000044
2025-07,0.026362344138721516
2025-08,0.004690845294052393
2025-09,0.0032880296923987196
2025-10,-0.010624392466038635
2025-11,0.0
2025-12,0.0
2026-01,0.0
