period,return
2021-01,0.0
2021-02,0.0
2021-03,0.0
2021-04,0.0
2021-05,0.0
2021-06,0.0
2021-07,0.0
2021-08,0.0
2021-09,0.0
2021-10,0.0
2021-11,0.0
2021-12,0.0
2022-01,0.0
2022-02,0.0
2022-03,0.0012243561038218775
2022-04,-0.004775775377386604
2022-05,0.0
2022-06,0.0
2022-07,0.003981577616523291
2022-08,0.0011071407725413707
2022-09,-0.0008822493384803565
2022-10,0.009383071849552227
2022-11,-0.005833283930577804
2022-12,0.0
2023-01,0.026403734151668967
2023-02,-0.003991093538834756
2023-03,-0.0019290099816794415
2023-04,-0.024948166821443407
2023-05,-0.00148553292105702
2023-06,-0.009671637399957356
2023-07,0.003430276512280672
2023-08,-0.00759244329556541
2023-09,0.01114835773011924
2023-10,0.008252646364843352
2023-11,0.011896054147028767
2023-12,0.019817723309025093
2024-01,-0.009135839930795475
2024-02,0.03849705273815873
2024-03,0.019654344502967325
2024-04,-0.006834936398850466
2024-05,0.0
2024-06,-0.004999999999999893
2024-07,0.0
2024-08,0.0
2024-09,-0.013094375318425944
2024-10,-0.01604271068777363
2024-11,0.0049366343845236305
2024-12,-0.0024225282262624326
2025-01,0.0
2025-02,0.0
2025-03,0.0
2025-04,0.0
2025-05,0.00033285972969832045
2025-06,-0.004999999999999893
2025-07,0.02636234413872174
2025-08,0.004690845294052393
2025-09,0.0032880296923989416
2025-10,-0.010624392466038524
2025-11,0.0
2025-12,0.0
2026-01,0.0
