timestamp,stablecoin_growth_30d_pct,btc_etf_flow_5d_usd,eth_etf_flow_5d_usd,total_market_trend_30d_pct,btc_trend_30d_pct,funding_rate,oi_growth_7d_pct
2021-01-31,33.80301332814797,,,,12.823297941577882,,
2021-02-01,31.456778572841237,,,,4.189278933990681,,
2021-02-02,26.77776830282783,,,,7.473291707133756,,
2021-02-03,21.21334052375754,,,,17.60045966217456,,
2021-02-04,30.618966705470196,,,,8.798737419928958,,
2021-02-05,28.86265376524244,,,,4.136269981310514,,
2021-02-06,28.45799604013346,,,,-0.6221806093890447,,
2021-02-07,28.443426669713666,,,,-4.403637894960932,,
2021-02-08,29.44419693547522,,,,15.682038264607412,,
2021-02-09,29.33953058966987,,,,21.67862559442957,,
2021-02-10,33.46791797891109,,,,26.55910397754859,,
2021-02-11,34.49332224220034,,,,40.87448797753035,,
2021-02-12,34.01177425747643,,,,26.53426231517273,,
2021-02-13,37.28016122440074,,,,20.46057555978491,,
2021-02-14,38.69048082513529,,,,32.21245205107366,,
2021-02-15,38.22230145472243,,,,33.104949634643475,,
2021-02-16,38.665196327221274,,,,37.134680915614624,,
2021-02-17,41.507041275162294,,,,42.28201752218803,,
2021-02-18,39.64258892965109,,,,43.634605306160324,,
2021-02-19,41.33232016067565,,,,57.62275140315711,,
2021-02-20,45.43524619714163,,,,81.00795685463886,,
2021-02-21,46.57354540503482,,,,74.25489077761627,,
2021-02-22,45.4522393964836,,,,68.61297462435314,,
2021-02-23,46.53403499501354,,,,51.55347660718104,,
2021-02-24,45.85909008045006,,,,54.014670957580705,,
2021-02-25,47.746696936150435,,,,44.98602768222148,,
2021-02-26,44.926339659457156,,,,52.39623725760427,,
2021-02-27,44.193551309910696,,,,38.18859123041427,,
2021-02-28,40.82650534606395,,,,31.774484558656102,,
2021-03-01,42.55308837195098,,,,44.72522449951668,,
2021-03-02,43.373281229647546,,,,46.377419017568066,,
2021-03-03,45.36564489077022,,,,50.178411799428325,,
2021-03-04,44.10780936679068,,,,36.39475174137432,,
2021-03-05,51.11589494076172,,,,29.593765043979236,,
2021-03-06,41.344555927586455,,,,32.340606865915845,,
2021-03-07,40.22245281092489,,,,33.11943200147087,,
2021-03-08,35.9464363822807,,,,33.654656372760904,,
2021-03-09,34.97704996555486,,,,41.47061181280702,,
2021-03-10,33.57709076083846,,,,20.435033025429483,,
2021-03-11,33.14821851651855,,,,24.456349167026083,,
2021-03-12,30.095097202331033,,,,27.705446266011236,,
2021-03-13,29.970110932518978,,,,27.55683766625925,,
2021-03-14,29.365475330476308,,,,24.70142278313976,,
